::1 - - [22/Jan/2022:18:17:04 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:17:05 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:17:05 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:17:05 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:18:04 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:18:04 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:18:04 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:18:05 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:18:26 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:18:27 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:18:27 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:18:27 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:24:35 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:24:36 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:24:36 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:24:36 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:26:13 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:26:13 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:26:13 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:26:13 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:27:50 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:27:51 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:27:51 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:27:51 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:27:56 +0000] "GET /api/search/1/2/3 HTTP/1.1" 200 2
::1 - - [22/Jan/2022:18:31:34 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:31:35 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:31:35 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:31:35 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:31:41 +0000] "GET /api/search/1/5/9 HTTP/1.1" 200 1944
::1 - - [22/Jan/2022:18:33:17 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:33:18 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:33:18 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:33:18 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:33:24 +0000] "GET /api/search/1/5/9 HTTP/1.1" 200 1944
::1 - - [22/Jan/2022:18:33:57 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:33:57 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:33:58 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:33:58 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:34:04 +0000] "GET /api/search/1/5/9 HTTP/1.1" 200 1944
::1 - - [22/Jan/2022:18:34:25 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:34:25 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:34:25 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:34:25 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:34:31 +0000] "GET /api/search/1/5/9 HTTP/1.1" 200 1944
::1 - - [22/Jan/2022:18:35:43 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:35:47 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:36:40 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:36:41 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:36:41 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:36:41 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:36:47 +0000] "GET /api/search/1/5/9 HTTP/1.1" 200 1944
::1 - - [22/Jan/2022:18:37:16 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:37:16 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:37:16 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:37:16 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:37:24 +0000] "GET /api/search/1/5/9 HTTP/1.1" 200 1944
::1 - - [22/Jan/2022:18:37:35 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:37:36 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:37:36 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:37:36 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:37:42 +0000] "GET /api/search/2/5/9 HTTP/1.1" 200 1893
::1 - - [22/Jan/2022:18:38:36 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:38:36 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:38:36 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:38:36 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:38:42 +0000] "GET /api/search/1/5/9 HTTP/1.1" 200 1944
::1 - - [22/Jan/2022:18:40:16 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:40:16 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:40:16 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:40:16 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:40:23 +0000] "GET /api/search/1/5/9 HTTP/1.1" 200 1944
::1 - - [22/Jan/2022:18:41:32 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:41:32 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:41:32 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:41:32 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:41:38 +0000] "GET /api/search/1/5/9 HTTP/1.1" 200 1944
::1 - - [22/Jan/2022:18:44:10 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:44:11 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:44:11 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:44:11 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:45:30 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:45:31 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:45:31 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:45:31 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:45:37 +0000] "GET /api/search/1/5/9 HTTP/1.1" 200 1944
::1 - - [22/Jan/2022:18:48:09 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:48:10 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:48:10 +0000] "GET /api/categories HTTP/1.1" 200 367
::1 - - [22/Jan/2022:18:48:10 +0000] "GET /api/brands HTTP/1.1" 200 343
::1 - - [22/Jan/2022:18:48:16 +0000] "GET /api/search/1/5/9 HTTP/1.1" 200 1944
